rt;key_press;correct;coherent_movement_direction;coherent_orientation;task_type;task_transition;congruency
1513;f;FALSE;0;180;mov;switch;incongruent
447;f;FALSE;180;0;or;switch;incongruent
-1;;FALSE;0;0;mov;switch;congruent
1257;j;FALSE;180;0;mov;repetition;incongruent
475;j;FALSE;0;180;or;switch;incongruent
460;f;TRUE;180;0;mov;switch;incongruent
869;j;TRUE;0;0;mov;repetition;congruent
1026;j;TRUE;0;180;mov;repetition;incongruent
1107;j;FALSE;180;0;mov;repetition;incongruent
890;j;TRUE;0;0;mov;repetition;congruent
399;f;FALSE;180;0;or;switch;incongruent
745;j;FALSE;180;0;mov;switch;incongruent
1235;j;TRUE;0;0;mov;repetition;congruent
1041;f;TRUE;180;180;mov;repetition;congruent
562;f;FALSE;180;0;or;switch;incongruent
407;f;TRUE;180;180;or;repetition;congruent
644;j;FALSE;0;180;or;repetition;incongruent
1130;f;FALSE;0;0;mov;switch;congruent
781;f;TRUE;180;180;mov;repetition;congruent
847;f;TRUE;180;180;mov;repetition;congruent1240
821;j;TRUE;0;180;mov;switch;incongruent
1758;f;TRUE;180;180;or;switch;congruent
1348;j;TRUE;0;0;or;repetition;congruent
1994;j;TRUE;180;0;or;repetition;incongruent
852;j;TRUE;180;0;or;repetition;incongruent
1960;f;TRUE;0;180;or;repetition;incongruent
984;f;TRUE;180;180;mov;switch;congruent
796;f;TRUE;180;180;mov;repetition;congruent
937;f;TRUE;180;0;mov;repetition;incongruent
814;j;TRUE;0;180;mov;repetition;incongruent
-1;;FALSE;0;0;or;switch;congruent
557;j;TRUE;0;0;mov;switch;congruent
950;j;TRUE;0;180;mov;repetition;incongruent
1732;j;TRUE;180;0;or;switch;incongruent
744;j;FALSE;0;180;or;repetition;incongruent
1961;f;FALSE;0;0;mov;switch;congruent
1219;f;TRUE;0;180;or;switch;incongruent
764;f;TRUE;180;180;mov;switch;congruent
817;f;TRUE;180;180;or;switch;congruent
784;f;TRUE;180;180;mov;switch;congruent
1136;f;TRUE;180;180;mov;repetition;congruent
1288;j;FALSE;180;180;or;switch;congruent
763;j;TRUE;0;0;mov;switch;congruent
610;j;TRUE;0;0;mov;repetition;congruent
776;f;TRUE;180;180;mov;repetition;congruent
928;j;TRUE;180;0;or;switch;incongruent
1555;j;TRUE;0;0;or;repetition;congruent
1542;f;TRUE;180;0;mov;switch;incongruent
895;j;TRUE;180;0;or;switch;incongruent
986;j;FALSE;0;180;or;repetition;incongruent
711;f;TRUE;180;180;mov;switch;congruent
1002;f;TRUE;180;180;or;switch;congruent
1660;f;TRUE;180;0;mov;switch;incongruent
496;f;TRUE;180;180;mov;repetition;congruent
619;j;TRUE;0;0;mov;repetition;congruent
656;f;TRUE;180;0;mov;repetition;incongruent
653;f;TRUE;180;0;mov;repetition;incongruent
938;j;TRUE;180;0;or;switch;incongruent
845;f;TRUE;180;0;mov;switch;incongruent
652;f;TRUE;180;180;mov;repetition;congruent
1649;f;TRUE;0;180;or;switch;incongruent
1708;f;TRUE;180;180;or;repetition;congruent
1309;j;TRUE;0;0;or;repetition;congruent
1458;j;TRUE;0;0;mov;switch;congruent
943;f;FALSE;180;0;or;switch;incongruent
804;j;TRUE;0;0;or;repetition;congruent
1002;f;TRUE;0;180;or;repetition;incongruent
1237;f;TRUE;180;180;or;repetition;congruent
1060;j;TRUE;0;0;or;repetition;congruent
1543;f;TRUE;0;180;or;repetition;incongruent
1107;j;TRUE;0;0;or;repetition;congruent
1399;j;TRUE;180;0;or;repetition;incongruent
904;f;FALSE;0;180;mov;switch;incongruent
1007;j;TRUE;0;180;mov;repetition;incongruent
1360;f;TRUE;0;180;or;switch;incongruent
1275;j;TRUE;0;0;mov;switch;congruent
776;f;TRUE;0;180;or;switch;incongruent
1723;f;FALSE;0;0;or;repetition;congruent
821;j;TRUE;180;0;or;repetition;incongruent
1349;f;TRUE;0;180;or;repetition;incongruent
634;j;TRUE;0;0;mov;switch;congruent
685;j;TRUE;0;180;mov;repetition;incongruent
673;f;TRUE;180;180;mov;repetition;congruent
697;j;TRUE;0;180;mov;repetition;incongruent
931;j;TRUE;0;180;mov;repetition;incongruent
1151;f;TRUE;180;180;or;switch;congruent
634;j;TRUE;0;0;mov;switch;congruent
1215;f;TRUE;0;180;or;switch;incongruent
934;j;TRUE;0;0;mov;switch;congruent
976;j;FALSE;0;180;or;switch;incongruent
1250;f;TRUE;180;180;mov;switch;congruent
1586;j;TRUE;0;180;mov;repetition;incongruent
1262;f;TRUE;180;180;or;switch;congruent
1007;j;TRUE;0;0;or;repetition;congruent
1211;j;TRUE;0;180;mov;switch;incongruent
1007;f;TRUE;180;0;mov;repetition;incongruent
1645;f;TRUE;180;180;or;switch;congruent
1355;j;TRUE;180;0;or;repetition;incongruent
1518;f;TRUE;180;0;mov;switch;incongruent
850;j;TRUE;0;0;or;switch;congruent
696;j;TRUE;0;0;or;repetition;congruent
727;f;TRUE;180;180;or;repetition;congruent
873;f;TRUE;180;0;mov;switch;incongruent
494;f;TRUE;180;0;mov;repetition;incongruent
966;j;TRUE;0;0;or;switch;congruent
1219;j;TRUE;0;180;mov;switch;incongruent
536;f;TRUE;180;0;mov;repetition;incongruent
483;j;TRUE;0;180;mov;repetition;incongruent
515;f;TRUE;180;180;mov;repetition;congruent
515;f;TRUE;180;0;mov;repetition;incongruent
775;j;TRUE;180;0;or;switch;incongruent
744;j;TRUE;0;0;mov;switch;congruent
1160;j;TRUE;180;0;or;switch;incongruent
737;f;TRUE;180;180;or;repetition;congruent
507;j;TRUE;0;0;mov;switch;congruent1250
1194;f;FALSE;0;0;mov;switch;congruent
1104;j;TRUE;180;0;or;switch;incongruent
847;f;FALSE;180;0;or;repetition;incongruent
1179;f;TRUE;0;180;or;repetition;incongruent
935;f;TRUE;180;0;mov;switch;incongruent
1024;f;TRUE;180;180;mov;repetition;congruent
1443;j;FALSE;180;0;mov;repetition;incongruent
1889;j;TRUE;180;0;or;switch;incongruent
1199;f;FALSE;0;0;mov;switch;congruent
1195;f;TRUE;180;180;mov;repetition;congruent
1155;f;FALSE;0;180;mov;repetition;incongruent
1385;j;TRUE;0;180;mov;repetition;incongruent
1218;f;TRUE;180;180;mov;repetition;congruent
1018;f;TRUE;180;180;mov;repetition;congruent
1617;j;TRUE;180;0;or;switch;incongruent
1094;f;TRUE;0;180;or;repetition;incongruent
1343;f;TRUE;180;0;mov;switch;incongruent
812;j;TRUE;0;180;mov;repetition;incongruent
1106;f;TRUE;180;180;or;switch;congruent
1444;f;TRUE;180;180;or;repetition;congruent
1383;j;FALSE;180;180;or;repetition;congruent
806;j;FALSE;0;180;or;repetition;incongruent
1782;j;TRUE;0;0;or;repetition;congruent
1219;f;TRUE;180;180;or;repetition;congruent
1269;f;TRUE;180;180;or;repetition;congruent
655;j;TRUE;0;0;or;repetition;congruent
634;j;TRUE;0;0;or;repetition;congruent
1477;j;TRUE;0;0;mov;switch;congruent
1903;j;TRUE;0;180;mov;repetition;incongruent
-1;;FALSE;0;180;or;switch;incongruent
636;f;TRUE;180;0;mov;switch;incongruent
677;f;TRUE;180;0;mov;repetition;incongruent
859;f;TRUE;180;180;mov;repetition;congruent
711;f;TRUE;180;180;or;switch;congruent
1789;j;FALSE;0;180;or;repetition;incongruent
738;f;TRUE;180;180;mov;switch;congruent
